n,p,r,s
225,0.1,200,26020
225,0.2,220,16853
225,0.3,240,34281
225,0.4,260,41160
225,0.5,280,11248
225,0.6,300,23245
250,0.1,320,56020
250,0.2,320,86853
250,0.3,340,94281
250,0.4,360,71160
250,0.5,380,61248
250,0.6,400,53245
275,0.1,400,46020
275,0.2,420,26853
275,0.3,440,14281
275,0.4,460,31160
275,0.5,480,61248
275,0.6,400,13245
325,0.1,400,26020
325,0.2,420,76853
325,0.3,440,54281
325,0.4,460,41160
325,0.5,480,21248
325,0.6,500,13245
350,0.1,520,76020
350,0.2,520,86853
350,0.3,540,34281
350,0.4,560,11160
350,0.5,580,91248
350,0.6,600,13245
375,0.1,600,26020
375,0.2,620,56853
375,0.3,640,34281
375,0.4,660,21160
375,0.5,680,11248
375,0.6,500,23245
525,0.1,500,86020
525,0.2,520,66853
525,0.3,540,44281
525,0.4,560,21160
525,0.5,580,11248
525,0.6,500,43245
550,0.1,700,26020
550,0.2,720,66853
550,0.3,740,84281
550,0.4,760,91160
550,0.5,780,21248
550,0.6,700,13245
575,0.1,700,26020
575,0.2,820,56853
575,0.3,840,84281
575,0.4,860,31160
575,0.5,880,91248
575,0.6,900,13245
600,0.1,800,36020
600,0.2,820,56853
600,0.3,840,14281
600,0.4,860,71160
600,0.5,880,21248
600,0.6,900,13245
