n,p,r,s
225,0.1,200,26020
225,0.2,220,16853
225,0.3,240,34281
225,0.4,260,41160
225,0.5,280,11248
225,0.6,300,23245
250,0.1,320,56020
250,0.2,320,86853
250,0.3,340,94281
250,0.4,360,71160
250,0.5,380,61248
250,0.6,400,53245
275,0.1,400,46020
275,0.2,420,26853
275,0.3,440,14281
275,0.4,460,31160
275,0.5,480,61248
275,0.6,400,13245
325,0.1,400,26020
325,0.2,420,76853
325,0.3,440,54281
325,0.4,460,41160
325,0.5,480,21248
325,0.6,500,13245
350,0.1,520,76020
350,0.2,520,86853
350,0.3,540,34281
350,0.4,560,11160
350,0.5,580,91248
350,0.6,600,13245
375,0.1,600,26020
375,0.2,620,56853
375,0.3,640,34281
375,0.4,660,21160
375,0.5,680,11248
375,0.6,500,23245
525,0.1,500,86020
525,0.2,520,66853
525,0.3,540,44281
525,0.4,560,21160
525,0.5,580,11248
525,0.6,500,43245
550,0.1,700,26020
550,0.2,720,66853
550,0.3,740,84281
550,0.4,760,91160
550,0.5,780,21248
550,0.6,700,13245
575,0.1,700,26020
575,0.2,820,56853
575,0.3,840,84281
575,0.4,860,31160
575,0.5,880,91248
575,0.6,900,13245
600,0.1,800,36020
600,0.2,820,56853
600,0.3,840,14281
600,0.4,860,71160
600,0.5,880,21248
600,0.6,900,13245
625,0.1,920,36230
625,0.2,940,55433
625,0.3,960,12281
625,0.4,980,21160
625,0.5,980,41248
625,0.6,1000,62345
650,0.1,1020,32445
650,0.2,1040,56854
650,0.3,1040,23281
650,0.4,1060,53160
650,0.5,1080,23548
650,0.6,1100,23245
675,0.1,1120,36570
675,0.2,1140,55753
675,0.3,1160,18881
675,0.4,1180,71656
675,0.5,1180,21878
675,0.6,1200,13575
725,0.1,1220,38576
725,0.2,1240,65785
725,0.3,1260,13581
725,0.4,1280,35160
725,0.5,1300,65248
725,0.6,1320,65245
750,0.1,1340,36025
750,0.2,1360,56855
750,0.3,1380,14283
750,0.4,1400,71363
750,0.5,1420,21548
750,0.6,1440,13455
775,0.1,1460,46020
775,0.2,1460,36853
775,0.3,1480,34281
775,0.4,1500,41160
775,0.5,1520,21338
775,0.6,1540,13211
825,0.1,1540,36034
825,0.2,1560,56453
825,0.3,1580,14581
825,0.4,1580,76560
825,0.5,1600,26368
825,0.6,1620,13645
850,0.1,1640,36420
850,0.2,1660,53653
850,0.3,1680,12581
850,0.4,1700,73110
850,0.5,1700,26248
850,0.6,1720,13245
875,0.1,1740,36020
875,0.2,1760,56853
875,0.3,1760,14281
875,0.4,1780,71160
875,0.5,1800,21248
875,0.6,1820,13245
925,0.1,1840,36356
925,0.2,1860,56865
925,0.3,1880,14876
925,0.4,1900,71187
925,0.5,1920,21578
925,0.6,1920,15356
950,0.1,1920,36476
950,0.2,1940,56476
950,0.3,1960,14467
950,0.4,1960,74760
950,0.5,1980,26248
950,0.6,2000,43245
975,0.1,2020,36245
975,0.2,2040,56253
975,0.3,2060,25281
975,0.4,2060,51160
975,0.5,2080,21248
975,0.6,2100,12545
1000,0.1,2100,36054
1000,0.2,2120,56852
1000,0.3,2140,14281
1000,0.4,2140,71470
1000,0.5,2180,21448
1000,0.6,2200,13745
