150 5548
1 4 60
1 5 46
1 7 38
1 9 18
1 10 39
1 14 44
1 17 11
1 22 39
1 26 46
1 27 44
1 28 50
1 32 7
1 34 22
1 37 21
1 39 73
1 42 49
1 43 6
1 45 37
1 46 8
1 48 54
1 50 43
1 53 27
1 54 56
1 55 34
1 58 82
1 67 27
1 69 22
1 71 60
1 72 100
1 73 97
1 76 32
1 77 41
1 85 54
1 87 7
1 94 1
1 99 30
1 101 53
1 104 61
1 106 100
1 107 32
1 109 44
1 111 84
1 112 32
1 114 43
1 119 92
1 123 98
1 124 34
1 126 73
1 127 39
1 129 49
1 130 40
1 131 20
1 134 15
1 135 72
1 136 100
1 137 90
1 138 98
1 140 81
1 141 55
1 143 3
1 144 51
1 146 40
1 147 65
2 3 13
2 6 85
2 9 9
2 10 70
2 12 76
2 13 31
2 14 21
2 15 43
2 18 91
2 19 78
2 21 48
2 23 75
2 25 75
2 26 77
2 27 90
2 28 1
2 30 56
2 31 59
2 32 94
2 37 15
2 38 86
2 40 21
2 41 59
2 42 6
2 43 30
2 45 83
2 48 69
2 49 31
2 51 65
2 53 21
2 54 94
2 55 99
2 56 63
2 58 48
2 62 11
2 63 89
2 64 36
2 68 77
2 71 85
2 74 24
2 76 61
2 77 87
2 79 14
2 82 74
2 83 83
2 86 73
2 88 15
2 90 94
2 91 70
2 92 70
2 93 69
2 96 57
2 99 96
2 101 93
2 102 19
2 103 68
2 109 92
2 116 48
2 118 98
2 120 65
2 121 68
2 122 41
2 125 73
2 127 71
2 128 50
2 130 16
2 131 17
2 133 46
2 134 61
2 135 32
2 136 53
2 137 57
2 139 88
2 140 67
2 141 6
2 142 91
2 143 95
2 145 79
2 148 5
2 149 23
3 4 83
3 5 54
3 10 22
3 13 66
3 14 73
3 16 53
3 17 22
3 18 89
3 20 52
3 21 9
3 24 36
3 25 30
3 27 19
3 29 86
3 30 27
3 31 91
3 35 59
3 37 24
3 38 64
3 39 87
3 40 29
3 42 6
3 43 94
3 44 27
3 45 84
3 47 5
3 50 35
3 51 6
3 54 71
3 56 7
3 57 47
3 58 72
3 60 25
3 62 88
3 63 94
3 67 58
3 68 67
3 69 27
3 75 89
3 76 15
3 78 46
3 79 37
3 80 26
3 81 31
3 83 22
3 84 13
3 85 98
3 98 53
3 102 46
3 104 75
3 109 59
3 110 40
3 112 38
3 113 19
3 116 8
3 117 96
3 119 84
3 121 93
3 122 74
3 124 82
3 125 89
3 126 83
3 127 2
3 131 69
3 133 79
3 135 9
3 136 55
3 137 48
3 138 59
3 139 88
3 142 8
3 144 54
3 145 38
3 147 51
3 150 22
4 6 25
4 7 58
4 11 5
4 20 14
4 22 89
4 24 17
4 26 81
4 27 71
4 29 37
4 34 64
4 35 75
4 40 98
4 41 45
4 42 58
4 43 39
4 47 10
4 48 87
4 51 29
4 52 74
4 54 98
4 58 90
4 59 73
4 60 70
4 61 49
4 62 49
4 63 95
4 66 43
4 68 35
4 69 86
4 72 51
4 73 18
4 74 53
4 75 59
4 78 51
4 79 88
4 80 37
4 82 32
4 84 85
4 85 40
4 86 95
4 90 26
4 92 91
4 94 5
4 98 22
4 99 3
4 101 46
4 102 49
4 103 71
4 104 20
4 105 84
4 106 28
4 107 69
4 108 82
4 111 52
4 112 25
4 114 2
4 115 14
4 116 13
4 118 91
4 119 91
4 120 26
4 122 16
4 123 8
4 124 53
4 125 34
4 128 77
4 132 99
4 133 77
4 135 18
4 136 18
4 137 98
4 139 17
4 140 77
4 142 30
4 143 46
4 144 61
4 147 77
4 148 71
5 7 58
5 9 46
5 12 58
5 14 48
5 16 18
5 18 85
5 19 37
5 22 31
5 23 48
5 24 65
5 25 100
5 29 2
5 31 83
5 32 61
5 34 28
5 36 23
5 37 79
5 38 52
5 43 13
5 45 90
5 48 70
5 49 5
5 51 78
5 53 10
