n,p,r,s,Dinic,EK,MPM
1000,0.1,1000,979239026342,0.00987975,,
1000,0.1,1000,529211333165,0.0136308,,
1000,0.1,1000,129608652823,0.00721035,,
1000,0.1,1000,370111656743,0.0121514,,
1000,0.1,1000,420908692112,0.0116477,,
1000,0.1,1000,180559176998,0.00970389,,
2000,0.1,2000,120486490373,0.11327,,
2000,0.1,2000,207610471586,0.147489,,
2000,0.1,2000,203396301256,0.0930886,,
2000,0.1,2000,853403618490,0.137618,,
2000,0.1,2000,955773567195,0.135666,,
2000,0.1,2000,203040476991,0.131651,,
3000,0.1,3000,143630116148,0.507692,,
3000,0.1,3000,887967836084,0.34086,,
3000,0.1,3000,398792395793,0.694563,,
3000,0.1,3000,454189500235,0.401812,,
3000,0.1,3000,990561202485,1.14578,,
3000,0.1,3000,549206735992,0.846162,,
4000,0.1,4000,821327207657,1.19482,,
4000,0.1,4000,601338022350,1.22862,,
4000,0.1,4000,65879186675,1.81139,,
4000,0.1,4000,692811598549,0.835841,,
4000,0.1,4000,391626740044,0.920209,,
4000,0.1,4000,74877191590,0.713549,,
5000,0.1,5000,126704290459,2.12797,,
5000,0.1,5000,599986457310,2.03033,,
5000,0.1,5000,479462619754,1.95113,,
5000,0.1,5000,609230943093,1.43215,,
5000,0.1,5000,852082593765,1.98719,,
5000,0.1,5000,962270366556,2.10586,,
6000,0.1,6000,937229833343,3.10847,,
6000,0.1,6000,850447395251,1.90375,,
6000,0.1,6000,565451682079,3.13936,,
6000,0.1,6000,717602694419,0.973987,,
6000,0.1,6000,360632471777,2.66025,,
6000,0.1,6000,542894172282,3.957,,
7000,0.1,7000,164312762174,4.26602,,
7000,0.1,7000,55731073849,2.34127,,
7000,0.1,7000,432558205398,5.44635,,
7000,0.1,7000,190737031654,3.92803,,
7000,0.1,7000,601394795861,5.71883,,
7000,0.1,7000,790139249921,2.78854,,
8000,0.1,8000,825538582787,7.39001,,
8000,0.1,8000,917584686242,2.72256,,
8000,0.1,8000,91045198517,7.47829,,
8000,0.1,8000,230671067812,7.02922,,
8000,0.1,8000,533807031903,2.9285,,
8000,0.1,8000,52533700516,6.2561,,
9000,0.1,9000,587031500304,9.78873,,
9000,0.1,9000,900976607217,8.33153,,
9000,0.1,9000,910841437002,7.77147,,
9000,0.1,9000,973021234062,8.20627,,
9000,0.1,9000,386288557935,5.01084,,
9000,0.1,9000,288179329666,7.11086,,
10000,0.1,10000,168044072372,13.448,,
10000,0.1,10000,592146067229,11.394,,
10000,0.1,10000,383680963645,12.475,,
10000,0.1,10000,2627874568,6.82081,,
10000,0.1,10000,865024655817,7.57194,,
10000,0.1,10000,711401885064,10.205,,
1000,0.2,1000,856977293891,0.0543568,,
1000,0.2,1000,403525932953,0.0278292,,
1000,0.2,1000,694249882347,0.0330936,,
1000,0.2,1000,556898711980,0.0186936,,
1000,0.2,1000,30121601823,0.0431964,,
1000,0.2,1000,694072564005,0.0275487,,
2000,0.2,2000,788578134723,0.390282,,
2000,0.2,2000,603949291472,0.102063,,
2000,0.2,2000,181578025021,0.532876,,
2000,0.2,2000,849039833699,0.143972,,
2000,0.2,2000,510255576695,0.373146,,
2000,0.2,2000,686825042484,0.359042,,
3000,0.2,3000,418942874827,0.641878,,
3000,0.2,3000,822059129190,1.53168,,
3000,0.2,3000,129136038687,0.852105,,
3000,0.2,3000,215054380641,0.588004,,
3000,0.2,3000,156340089301,0.349507,,
3000,0.2,3000,302180808040,0.332176,,
4000,0.2,4000,949467328959,2.19235,,
4000,0.2,4000,477533174267,1.13077,,
4000,0.2,4000,815345707814,0.448117,,
4000,0.2,4000,314860104325,1.64057,,
4000,0.2,4000,634849881956,1.6047,,
4000,0.2,4000,869935048960,1.43,,
5000,0.2,5000,245390392734,3.73107,,
5000,0.2,5000,895711475715,3.30449,,
5000,0.2,5000,221551488564,3.04008,,
5000,0.2,5000,591052722052,5.05532,,
5000,0.2,5000,557467781406,1.35204,,
5000,0.2,5000,53231108454,2.27762,,
6000,0.2,6000,440769010822,1.11929,,
6000,0.2,6000,513651720717,3.76053,,
6000,0.2,6000,569711542225,5.9675,,
6000,0.2,6000,954804061525,2.61657,,
6000,0.2,6000,379878427632,8.59859,,
6000,0.2,6000,661755446801,3.48524,,
7000,0.2,7000,369778014393,4.99718,,
7000,0.2,7000,347692694995,6.41149,,
7000,0.2,7000,376577259017,6.99265,,
7000,0.2,7000,405293565108,3.38926,,
7000,0.2,7000,779932257003,4.13983,,
7000,0.2,7000,812958329789,4.24962,,
8000,0.2,8000,209548517021,14.4457,,
8000,0.2,8000,133844908234,12.2368,,
8000,0.2,8000,699782609803,9.92274,,
8000,0.2,8000,941185735338,14.5965,,
8000,0.2,8000,738410543737,6.29467,,
8000,0.2,8000,511109635187,11.1021,,
9000,0.2,9000,238521506696,11.26,,
9000,0.2,9000,108112845896,13.4309,,
9000,0.2,9000,607710050321,22.2993,,
9000,0.2,9000,360065101806,13.8282,,
9000,0.2,9000,776873751103,5.01413,,
9000,0.2,9000,823571832128,10.235,,
10000,0.2,10000,679465964852,5.22958,,
10000,0.2,10000,443996780810,11.6891,,
10000,0.2,10000,176455110343,9.87147,,
10000,0.2,10000,676713802686,8.04906,,
10000,0.2,10000,119674619369,24.9621,,
10000,0.2,10000,558472526151,11.6081,,
1000,0.3,1000,280478638688,0.0372581,,
1000,0.3,1000,452745408612,0.0331095,,
1000,0.3,1000,858345096919,0.0380443,,
1000,0.3,1000,94214073892,0.0308415,,
1000,0.3,1000,587925917388,0.0243526,,
1000,0.3,1000,612410079961,0.0274378,,
2000,0.3,2000,773525282605,0.455227,,
2000,0.3,2000,817177340792,0.0786365,,
2000,0.3,2000,278665463239,0.289446,,
2000,0.3,2000,526563373200,0.9311,,
2000,0.3,2000,50358066513,0.354494,,
2000,0.3,2000,277397805487,0.29453,,
3000,0.3,3000,128599376747,0.923479,,
3000,0.3,3000,911292608649,1.05715,,
3000,0.3,3000,487917345287,1.81583,,
3000,0.3,3000,973665950454,1.0915,,
3000,0.3,3000,981085063448,0.564359,,
3000,0.3,3000,823110733232,0.370945,,
4000,0.3,4000,115680276328,1.9034,,
4000,0.3,4000,9936588176,0.516993,,
4000,0.3,4000,482167224027,3.64154,,
4000,0.3,4000,108855632300,1.06838,,
4000,0.3,4000,73527062260,0.596516,,
4000,0.3,4000,975584289070,2.34259,,
5000,0.3,5000,354983486204,7.03982,,
5000,0.3,5000,312500870286,0.742701,,
5000,0.3,5000,99648473073,1.92623,,
5000,0.3,5000,20182739754,7.98986,,
5000,0.3,5000,153175690420,10.0427,,
5000,0.3,5000,474260157988,0.991068,,
6000,0.3,6000,337048286498,5.4986,,
6000,0.3,6000,786952662591,2.22333,,
6000,0.3,6000,750723101518,5.79309,,
6000,0.3,6000,94407252863,8.83376,,
6000,0.3,6000,364316401536,9.54502,,
6000,0.3,6000,490245715274,3.02038,,
7000,0.3,7000,667814927836,7.91976,,
7000,0.3,7000,650742226655,5.32612,,
7000,0.3,7000,23824908787,9.02079,,
7000,0.3,7000,133807047208,3.23133,,
7000,0.3,7000,207203094168,7.5575,,
7000,0.3,7000,773875282932,9.80768,,
8000,0.3,8000,664171099005,7.724,,
8000,0.3,8000,568432813602,6.75565,,
8000,0.3,8000,750802845982,12.8557,,
8000,0.3,8000,432744003929,16.8469,,
8000,0.3,8000,836964977292,16.7833,,
8000,0.3,8000,694145110832,13.7704,,
9000,0.3,9000,677286807501,17.0735,,
9000,0.3,9000,179501833253,27.1938,,
9000,0.3,9000,183057970277,15.9009,,
9000,0.3,9000,277019176589,19.1421,,
9000,0.3,9000,210393659377,17.6991,,
9000,0.3,9000,253193836014,29.2847,,
10000,0.3,10000,77879734049,6.23063,,
10000,0.3,10000,825675772752,7.61568,,
10000,0.3,10000,723923546137,2.76102,,
10000,0.3,10000,269248638175,24.8733,,
10000,0.3,10000,627112100606,33.7375,,
10000,0.3,10000,808651648829,21.8091,,
1000,0.4,1000,817994842741,0.124401,,
1000,0.4,1000,280250567718,0.12718,,
1000,0.4,1000,827365191652,0.0316175,,
1000,0.4,1000,184156778727,0.0525336,,
1000,0.4,1000,709734203317,0.036352,,
1000,0.4,1000,558781639147,0.0511095,,
2000,0.4,2000,772097925987,0.507778,,
2000,0.4,2000,405586664770,0.210839,,
2000,0.4,2000,49188751475,0.606911,,
2000,0.4,2000,34658756122,0.165655,,
2000,0.4,2000,811201575748,0.173743,,
2000,0.4,2000,540628275076,0.376356,,
3000,0.4,3000,966707792194,1.05145,,
3000,0.4,3000,125079143174,0.409655,,
3000,0.4,3000,189910724289,0.962208,,
3000,0.4,3000,766613636044,1.23535,,
3000,0.4,3000,659274558965,1.42037,,
3000,0.4,3000,875344100319,1.25634,,
4000,0.4,4000,788165405143,5.18692,,
4000,0.4,4000,140176946153,3.05762,,
4000,0.4,4000,465755336391,1.07061,,
4000,0.4,4000,803184223846,3.0001,,
4000,0.4,4000,191069809235,1.99471,,
4000,0.4,4000,753473658225,1.96773,,
5000,0.4,5000,594514185293,2.89095,,
5000,0.4,5000,280066831385,5.32847,,
5000,0.4,5000,324001467865,3.48353,,
5000,0.4,5000,608718180639,1.0601,,
5000,0.4,5000,233648492882,1.30248,,
5000,0.4,5000,254975104967,1.65204,,
6000,0.4,6000,191671167801,4.48336,,
6000,0.4,6000,86890346247,5.2843,,
6000,0.4,6000,803930116046,7.57296,,
6000,0.4,6000,461909881119,11.4045,,
6000,0.4,6000,529071367956,4.75475,,
6000,0.4,6000,756861592427,8.67265,,
7000,0.4,7000,493040533783,2.51955,,
7000,0.4,7000,681956747696,11.5241,,
7000,0.4,7000,586622413399,6.93345,,
7000,0.4,7000,733393511100,5.39924,,
7000,0.4,7000,360423053509,5.20595,,
7000,0.4,7000,888022869507,3.65188,,
8000,0.4,8000,274947397833,9.14051,,
8000,0.4,8000,683493196678,4.54614,,
8000,0.4,8000,234916282294,6.46219,,
8000,0.4,8000,106217507447,8.22842,,
8000,0.4,8000,46055408181,14.8649,,
8000,0.4,8000,811987814423,13.6907,,
9000,0.4,9000,130814096762,6.95907,,
9000,0.4,9000,489918023137,21.5541,,
9000,0.4,9000,905747905636,10.0073,,
9000,0.4,9000,760107429012,18.0608,,
9000,0.4,9000,136471641805,13.4631,,
9000,0.4,9000,568561888426,4.8064,,
10000,0.4,10000,948414501947,31.2837,,
10000,0.4,10000,407818882440,2.2112,,
10000,0.4,10000,34126884885,20.2687,,
10000,0.4,10000,469606759463,28.3029,,
10000,0.4,10000,891567092594,13.3072,,
10000,0.4,10000,241086504219,11.6849,,
1000,0.5,1000,315293074989,0.0753649,,
1000,0.5,1000,715065937678,0.0494103,,
1000,0.5,1000,893066177569,0.0404546,,
1000,0.5,1000,30520241557,0.0449438,,
1000,0.5,1000,186937786662,0.159529,,
1000,0.5,1000,622241428051,0.075422,,
2000,0.5,2000,326995524859,0.238319,,
2000,0.5,2000,191219249033,0.340163,,
2000,0.5,2000,40735054253,0.392303,,
2000,0.5,2000,967803650756,0.228219,,
2000,0.5,2000,764342653965,0.0970894,,
2000,0.5,2000,514578914117,0.509551,,
3000,0.5,3000,979244140289,1.52539,,
3000,0.5,3000,563051473362,1.13413,,
3000,0.5,3000,937755066841,2.65522,,
3000,0.5,3000,967617571557,0.859723,,
3000,0.5,3000,443171312519,1.23501,,
3000,0.5,3000,635370102442,0.7473,,
4000,0.5,4000,785952076371,1.47642,,
4000,0.5,4000,962430430950,1.08922,,
4000,0.5,4000,767818517553,4.05498,,
4000,0.5,4000,578780089649,2.42051,,
4000,0.5,4000,658087373471,1.42792,,
4000,0.5,4000,424822776268,3.79034,,
5000,0.5,5000,413211240270,1.08188,,
5000,0.5,5000,47817698096,5.34554,,
5000,0.5,5000,338341018948,3.79235,,
5000,0.5,5000,502651431283,4.18948,,
5000,0.5,5000,825281404284,4.88748,,
5000,0.5,5000,992212126969,0.993562,,
6000,0.5,6000,67432429223,4.3491,,
6000,0.5,6000,213218205416,13.645,,
6000,0.5,6000,531795297207,3.21579,,
6000,0.5,6000,194196717215,13.2625,,
6000,0.5,6000,977261134131,19.801,,
6000,0.5,6000,235851773089,7.07701,,
7000,0.5,7000,205755887041,15.3009,,
7000,0.5,7000,28817668363,4.26736,,
7000,0.5,7000,506643555349,9.91868,,
7000,0.5,7000,48384203974,3.0501,,
7000,0.5,7000,182039469206,2.50583,,
7000,0.5,7000,168646891986,7.2274,,
8000,0.5,8000,862832237795,6.92993,,
8000,0.5,8000,979631900599,11.061,,
8000,0.5,8000,652396716022,7.99412,,
8000,0.5,8000,226891126380,12.5184,,
8000,0.5,8000,498048893603,9.81428,,
8000,0.5,8000,187153492384,4.68645,,
9000,0.5,9000,112097409236,8.26516,,
9000,0.5,9000,784407340937,14.5951,,
9000,0.5,9000,837947375410,25.7633,,
9000,0.5,9000,255970367626,7.85361,,
9000,0.5,9000,676275579763,10.4935,,
9000,0.5,9000,522646506560,20.1068,,
10000,0.5,10000,193683698819,11.605,,
10000,0.5,10000,611708397599,19.2611,,
10000,0.5,10000,69802623241,46.7503,,
10000,0.5,10000,790334355101,9.83492,,
10000,0.5,10000,867588017136,10.8345,,
10000,0.5,10000,763200729536,16.0909,,
1000,0.6,1000,270410990416,0.136724,,
1000,0.6,1000,336789270229,0.0560211,,
1000,0.6,1000,384718515004,0.029828,,
1000,0.6,1000,597070390425,0.0468861,,
1000,0.6,1000,61687251706,0.0370245,,
1000,0.6,1000,694453234510,0.141631,,
2000,0.6,2000,273824491136,0.590628,,
2000,0.6,2000,724453896433,0.141766,,
2000,0.6,2000,572068529094,0.474672,,
2000,0.6,2000,537183288421,0.313746,,
2000,0.6,2000,831557288758,0.167851,,
2000,0.6,2000,850531370107,0.586148,,
3000,0.6,3000,82733302644,2.30589,,
3000,0.6,3000,914040963100,0.409778,,
3000,0.6,3000,104173680624,0.715084,,
3000,0.6,3000,191443400577,1.82517,,
3000,0.6,3000,889889441133,0.367046,,
3000,0.6,3000,977937098803,0.344309,,
4000,0.6,4000,566870258834,0.766546,,
4000,0.6,4000,792530378413,2.42549,,
4000,0.6,4000,550546778201,2.61581,,
4000,0.6,4000,907926797474,1.2718,,
4000,0.6,4000,920880039479,1.48884,,
4000,0.6,4000,941050561134,1.45229,,
5000,0.6,5000,35655711109,11.8314,,
5000,0.6,5000,89265260333,1.05615,,
5000,0.6,5000,355684669713,2.729,,
5000,0.6,5000,258899965036,1.70795,,
5000,0.6,5000,284743908015,2.42836,,
