n,p,r,s,Dinic,EK,MPM
1000,0.3,1000,206361567574,,,0.151596
1200,0.3,1200,80677343297,,,0.10202
1400,0.3,1400,838791522487,,,0.5327
1600,0.3,1600,640214105555,,,0.508156
1800,0.3,1800,271009800045,,,0.229823
2000,0.3,2000,163657400821,,,0.775659
2200,0.3,2200,340082029479,,,0.807626
2400,0.3,2400,509271710273,,,1.03929
2600,0.3,2600,796854217100,,,1.06265
2800,0.3,2800,853276112042,,,1.17604
3000,0.3,3000,94514242675,,,2.55349
3200,0.3,3200,398336223163,,,1.79042
3400,0.3,3400,232307168841,,,5.70983
3600,0.3,3600,670561344370,,,6.97655
3800,0.3,3800,466849327907,,,7.80946
4000,0.3,4000,370392087322,,,6.13078
4200,0.3,4200,501654468613,,,6.41361
4400,0.3,4400,673412028384,,,8.69237
4600,0.3,4600,984084845517,,,9.25494
4800,0.3,4800,468271606339,,,10.2816
5000,0.3,5000,93325985083,,,13.4624
1000,0.3,1000,201156220419,,,0.0914401
1200,0.3,1200,332232175494,,,0.172871
1400,0.3,1400,233048587202,,,0.254442
1600,0.3,1600,140263298986,,,0.241782
1800,0.3,1800,729970789305,,,0.262016
2000,0.3,2000,740509809747,,,0.969114
2200,0.3,2200,257963738993,,,0.87149
2400,0.3,2400,733663290161,,,0.668579
2600,0.3,2600,581549842252,,,1.41455
2800,0.3,2800,772487332809,,,1.28131
3000,0.3,3000,325686609327,,,2.43007
3200,0.3,3200,259456461539,,,1.74368
3400,0.3,3400,311409133988,,,3.50532
3600,0.3,3600,36981286556,,,3.93004
3800,0.3,3800,399389978631,,,3.99467
4000,0.3,4000,578824876800,,,7.27913
4200,0.3,4200,474381181559,,,4.31435
4400,0.3,4400,463930000040,,,8.95115
4600,0.3,4600,530066962169,,,6.76321
4800,0.3,4800,604016105284,,,7.5711
5000,0.3,5000,698161556,,,9.27771
1000,0.3,1000,573759759481,,,0.162821
1200,0.3,1200,32693466426,,,0.312618
1400,0.3,1400,264284460720,,,0.470662
1600,0.3,1600,113097939563,,,0.705986
1800,0.3,1800,689971381969,,,1.04275
2000,0.3,2000,172771572916,,,1.49506
2200,0.3,2200,95740988798,,,1.93279
2400,0.3,2400,357656739723,,,2.30868
2600,0.3,2600,422672295065,,,2.18693
2800,0.3,2800,198116475653,,,1.87654
3000,0.3,3000,368059192058,,,1.38305
3200,0.3,3200,690969788706,,,2.42822
3400,0.3,3400,807573382357,,,2.24971
3600,0.3,3600,273354901617,,,2.43595
3800,0.3,3800,954558357815,,,6.73859
4000,0.3,4000,132526354176,,,5.10371
4200,0.3,4200,313309626954,,,7.0638
4400,0.3,4400,344341535758,,,5.18209
4600,0.3,4600,74655442615,,,6.16719
4800,0.3,4800,192700779655,,,8.36111
5000,0.3,5000,614482606831,,,10.8497
1000,0.3,1000,414503062007,,,0.0847157
1200,0.3,1200,801523729166,,,0.111874
1400,0.3,1400,831683554138,,,0.302496
1600,0.3,1600,998451197242,,,0.342002
1800,0.3,1800,525626944710,,,0.489966
2000,0.3,2000,136298513531,,,0.417252
2200,0.3,2200,413088248567,,,1.19549
2400,0.3,2400,408875457809,,,0.961908
2600,0.3,2600,289192471657,,,1.23587
2800,0.3,2800,568349956209,,,1.54633
3000,0.3,3000,622427350188,,,2.70405
3200,0.3,3200,909724307744,,,4.4758
3400,0.3,3400,426736820960,,,2.4671
3600,0.3,3600,713568447184,,,2.24816
3800,0.3,3800,733962459799,,,3.00793
4000,0.3,4000,776014647675,,,4.37816
4200,0.3,4200,710898853034,,,5.23244
4400,0.3,4400,16756057917,,,11.3404
