n,p,r,s,Dinic,EK,MPM
400,0.1,400,387821104246,,0.00558753,
500,0.1,500,485097022779,,0.0406132,
600,0.1,600,425523322327,,0.0207903,
700,0.1,700,310053147581,,0.0439291,
800,0.1,800,998017356283,,0.0520858,
900,0.1,900,898942775618,,0.0673298,
1000,0.1,1000,693746863724,,0.323255,
1100,0.1,1100,675281845293,,0.915282,
1200,0.1,1200,398365866282,,1.48606,
1300,0.1,1300,67681632698,,1.59552,
1400,0.1,1400,497053508912,,2.27427,
1500,0.1,1500,416682650452,,2.03003,
400,0.1,400,645218198094,,0.0180733,
500,0.1,500,665986846758,,0.0262998,
600,0.1,600,957178568399,,0.096494,
700,0.1,700,758214117874,,0.0963022,
800,0.1,800,816535898708,,0.121981,
900,0.1,900,469717454598,,0.190563,
1000,0.1,1000,429062217871,,0.3474,
1100,0.1,1100,871351607740,,1.09213,
1200,0.1,1200,412705579740,,1.07068,
1300,0.1,1300,227982253811,,1.117,
1400,0.1,1400,272407941444,,0.913129,
1500,0.1,1500,776955785760,,2.86641,
400,0.1,400,683565668448,,0.00350213,
500,0.1,500,972158329034,,0.00856702,
600,0.1,600,461174031316,,0.0194598,
700,0.1,700,279315134472,,0.0619602,
800,0.1,800,768231466641,,0.172605,
900,0.1,900,686873408035,,0.061372,
1000,0.1,1000,110588306619,,0.464374,
1100,0.1,1100,370974504195,,1.08767,
1200,0.1,1200,968955886905,,0.902013,
1300,0.1,1300,146481326936,,1.63587,
1400,0.1,1400,220358825171,,1.38576,
1500,0.1,1500,32812547709,,1.93927,
400,0.1,400,483725942508,,0.00742948,
500,0.1,500,308068020381,,0.0135333,
600,0.1,600,983454964110,,0.0414185,
700,0.1,700,810160183249,,0.0435704,
800,0.1,800,738329546727,,0.120039,
900,0.1,900,335665924215,,0.390946,
1000,0.1,1000,162557076227,,0.222208,
1100,0.1,1100,357573026464,,1.19478,
1200,0.1,1200,807926312221,,1.13635,
1300,0.1,1300,982403217386,,2.43003,
1400,0.1,1400,34725239938,,3.76464,
1500,0.1,1500,562420145452,,4.87073,
400,0.1,400,855944789873,,0.0176842,
500,0.1,500,719190446375,,0.0368316,
600,0.1,600,622916237450,,0.0243849,
700,0.1,700,937326779654,,0.0439098,
800,0.1,800,257054933718,,0.163445,
900,0.1,900,827358580113,,0.142273,
1000,0.1,1000,544046446861,,0.550191,
1100,0.1,1100,821291814254,,1.42046,
1200,0.1,1200,55698283107,,1.55684,
1300,0.1,1300,125106016578,,2.2478,
1400,0.1,1400,508235839289,,1.97784,
1500,0.1,1500,202169245516,,2.63047,
400,0.2,400,921104503317,,0.0451146,
500,0.2,500,993700283546,,0.0602056,
600,0.2,600,301001267593,,0.0600485,
700,0.2,700,16192668489,,0.374194,
800,0.2,800,171393110226,,0.744733,
900,0.2,900,509830484448,,0.552985,
1000,0.2,1000,516095713389,,0.973002,
1100,0.2,1100,33392102569,,2.85598,
1200,0.2,1200,843281771794,,2.4026,
1300,0.2,1300,756912322150,,3.44465,
1400,0.2,1400,25642666734,,2.53156,
1500,0.2,1500,548352172203,,5.42448,
400,0.2,400,4536202428,,0.0451486,
500,0.2,500,939495305483,,0.142771,
600,0.2,600,268465338570,,0.157483,
700,0.2,700,127808104111,,0.546044,
800,0.2,800,771426134519,,0.689684,
900,0.2,900,265062194621,,0.823833,
1000,0.2,1000,939390173817,,2.58821,
1100,0.2,1100,574046070689,,2.03886,
1200,0.2,1200,729175908112,,2.67353,
1300,0.2,1300,177600893121,,5.96977,
1400,0.2,1400,957133995105,,5.83855,
1500,0.2,1500,150069063467,,4.79162,
400,0.2,400,242688096040,,0.0275371,
500,0.2,500,981274029460,,0.0690757,
600,0.2,600,922023455725,,0.0752904,
700,0.2,700,62658790103,,0.186429,
800,0.2,800,230354471134,,0.1328,
900,0.2,900,695259527691,,1.08744,
1000,0.2,1000,485816138883,,1.77287,
1100,0.2,1100,17925740975,,4.14516,
1200,0.2,1200,245973983493,,0.863117,
1300,0.2,1300,815968561011,,7.74192,
1400,0.2,1400,553082290885,,6.81684,
1500,0.2,1500,272997632095,,8.27423,
400,0.2,400,948622277426,,0.0199791,
500,0.2,500,10747196001,,0.0215888,
600,0.2,600,982520528925,,0.190995,
700,0.2,700,51579730012,,0.336115,
800,0.2,800,773437259179,,0.597449,
900,0.2,900,729241857233,,0.174005,
1000,0.2,1000,25242193147,,2.00241,
1100,0.2,1100,138544623197,,4.14776,
1200,0.2,1200,397671735888,,2.64532,
1300,0.2,1300,118542314219,,0.878856,
1400,0.2,1400,759532779023,,5.97726,
1500,0.2,1500,144323934484,,2.21788,
400,0.2,400,828610884525,,0.0117377,
500,0.2,500,64819402144,,0.325645,
600,0.2,600,209938882110,,0.268744,
700,0.2,700,273496800957,,0.522153,
800,0.2,800,119128437501,,0.933143,
900,0.2,900,35255983695,,0.579617,
1000,0.2,1000,552466792406,,0.467569,
1100,0.2,1100,328097122802,,1.86504,
1200,0.2,1200,611725559750,,1.51469,
1300,0.2,1300,286563229011,,6.18833,
1400,0.2,1400,640637077029,,7.3327,
1500,0.2,1500,764821244589,,13.7963,
400,0.3,400,337998371264,,0.119759,
500,0.3,500,779188269634,,0.099504,
600,0.3,600,107087847187,,0.11527,
700,0.3,700,511390192111,,0.948493,
800,0.3,800,383257960607,,1.53548,
900,0.3,900,359276612617,,1.70409,
1000,0.3,1000,538774429158,,1.44207,
1100,0.3,1100,566838220528,,5.71031,
1200,0.3,1200,287287530186,,3.51062,
1300,0.3,1300,628966422780,,11.4659,
1400,0.3,1400,71321528579,,7.50809,
1500,0.3,1500,909261421872,,8.14597,
400,0.3,400,618178678074,,0.132156,
500,0.3,500,430053453919,,0.491757,
600,0.3,600,273134451607,,0.657802,
700,0.3,700,249282568500,,0.838125,
800,0.3,800,114511315147,,0.519474,
900,0.3,900,569296191833,,0.312829,
1000,0.3,1000,192790134264,,3.34657,
1100,0.3,1100,515275049105,,5.15637,
1200,0.3,1200,739646840209,,4.85512,
1300,0.3,1300,424697663522,,7.45,
1400,0.3,1400,701291331764,,13.661,
1500,0.3,1500,402085920920,,6.61416,
400,0.3,400,680121818119,,0.111561,
500,0.3,500,45727456257,,0.246914,
600,0.3,600,301048928992,,0.25977,
700,0.3,700,641096583698,,0.483453,
800,0.3,800,210717052316,,0.423217,
900,0.3,900,174908264272,,0.516747,
1000,0.3,1000,624790655180,,0.640185,
1100,0.3,1100,253815108304,,2.04717,
1200,0.3,1200,754621604014,,4.43507,
1300,0.3,1300,710423729346,,6.19941,
1400,0.3,1400,275000072356,,17.9212,
1500,0.3,1500,774042386134,,8.71691,
400,0.3,400,986916292539,,0.0493795,
500,0.3,500,582398414394,,0.146974,
600,0.3,600,192219275172,,0.558359,
700,0.3,700,425874792637,,1.473,
800,0.3,800,674561483631,,1.67445,
900,0.3,900,495215884576,,3.97431,
1000,0.3,1000,14023618858,,5.32269,
1100,0.3,1100,374180989243,,8.91305,
1200,0.3,1200,547400189820,,4.63918,
1300,0.3,1300,814064872175,,9.60329,
1400,0.3,1400,36740064171,,17.5496,
1500,0.3,1500,435657133922,,10.8489,
400,0.3,400,52300576564,,0.0672603,
500,0.3,500,71460385768,,0.123415,
600,0.3,600,13943801797,,0.0744936,
700,0.3,700,79666699248,,0.676422,
800,0.3,800,479636136689,,0.794579,
900,0.3,900,186650794895,,1.309,
1000,0.3,1000,948762637777,,1.78788,
1100,0.3,1100,77740104632,,5.71673,
1200,0.3,1200,592062179457,,5.96685,
1300,0.3,1300,951644412265,,4.87876,
1400,0.3,1400,480801157306,,8.10568,
1500,0.3,1500,657996263077,,8.27085,
400,0.4,400,365949107436,,0.169288,
500,0.4,500,133414838788,,0.236279,
600,0.4,600,41706880260,,0.542499,
700,0.4,700,917734925150,,0.966913,
800,0.4,800,908437742444,,4.19704,
900,0.4,900,753227215161,,3.61967,
1000,0.4,1000,266900234788,,2.69419,
1100,0.4,1100,154239194819,,5.60978,
1200,0.4,1200,807164431388,,10.9887,
1300,0.4,1300,902530287766,,16.194,
1400,0.4,1400,148254765251,,9.71041,
1500,0.4,1500,528373960835,,17.9233,
400,0.4,400,578817615354,,0.169915,
500,0.4,500,714321416240,,0.273227,
600,0.4,600,667339794637,,0.38689,
700,0.4,700,3193842883,,1.0377,
800,0.4,800,46254853854,,1.54126,
900,0.4,900,574939837136,,3.06469,
1000,0.4,1000,101882863178,,2.73863,
1100,0.4,1100,999937248470,,5.22817,
1200,0.4,1200,377852378333,,15.5112,
1300,0.4,1300,378911697056,,24.8289,
1400,0.4,1400,700243023665,,24.6422,
1500,0.4,1500,582744696049,,16.397,
400,0.4,400,374392747313,,0.0585409,
500,0.4,500,724376381147,,0.0880175,
600,0.4,600,529980571832,,1.00097,
700,0.4,700,275781370404,,0.575071,
800,0.4,800,374483293547,,2.84372,
900,0.4,900,407258768955,,4.12858,
1000,0.4,1000,949911807043,,3.42685,
1100,0.4,1100,912629299931,,4.85545,
1200,0.4,1200,592910293130,,7.95855,
1300,0.4,1300,260519488359,,15.6887,
1400,0.4,1400,181486039300,,30.6889,
1500,0.4,1500,423465014876,,17.2065,
400,0.4,400,235409949198,,0.0474367,
500,0.4,500,422970868082,,0.103178,
600,0.4,600,963268364371,,0.155194,
700,0.4,700,100873949336,,0.975389,
800,0.4,800,110247263890,,3.11532,
900,0.4,900,278602270086,,2.02101,
1000,0.4,1000,164711846631,,5.72672,
1100,0.4,1100,600613360197,,5.79579,
1200,0.4,1200,881482859920,,10.7243,
1300,0.4,1300,698013461326,,16.6937,
1400,0.4,1400,506358155184,,21.6547,
1500,0.4,1500,32268031308,,17.3698,
400,0.4,400,435930839633,,0.230561,
500,0.4,500,684762812595,,0.518929,
600,0.4,600,756715898588,,0.570473,
700,0.4,700,36702863321,,0.596313,
800,0.4,800,163625991026,,3.10052,
900,0.4,900,105928959708,,2.64126,
1000,0.4,1000,731093011057,,8.21326,
1100,0.4,1100,531781065615,,10.176,
1200,0.4,1200,449772329189,,7.5002,
1300,0.4,1300,891685615070,,9.24766,
1400,0.4,1400,333382462763,,16.8529,
1500,0.4,1500,54289258615,,33.1224,
400,0.5,400,127516003094,,0.164284,
500,0.5,500,349106979635,,0.51532,
600,0.5,600,685940401459,,0.49969,
700,0.5,700,202592927004,,2.42114,
800,0.5,800,717871251040,,3.42619,
900,0.5,900,813436808068,,4.5915,
1000,0.5,1000,494845611224,,11.7397,
1100,0.5,1100,148843814857,,12.9258,
1200,0.5,1200,979809086726,,11.0462,
1300,0.5,1300,757669205000,,19.4884,
1400,0.5,1400,927449406961,,28.5963,
1500,0.5,1500,162671888935,,38.8374,
400,0.5,400,311737445120,,0.130198,
500,0.5,500,215337350808,,0.400319,
600,0.5,600,333066983117,,0.316799,
700,0.5,700,10493701303,,0.999258,
800,0.5,800,590344091201,,3.44236,
900,0.5,900,981828401097,,6.1568,
1000,0.5,1000,710306632195,,9.68179,
1100,0.5,1100,609140260765,,17.4544,
1200,0.5,1200,933817053044,,20.2124,
1300,0.5,1300,483164061749,,21.1433,
1400,0.5,1400,91223207591,,25.6693,
1500,0.5,1500,899062882566,,31.9215,
400,0.5,400,607137687774,,0.0677445,
500,0.5,500,457202024652,,0.587483,
600,0.5,600,793428716327,,0.942159,
700,0.5,700,360254516679,,1.11761,
800,0.5,800,886900884455,,3.19006,
900,0.5,900,666610311143,,4.32833,
1000,0.5,1000,772439447970,,8.87313,
1100,0.5,1100,188571999837,,10.4862,
1200,0.5,1200,108323340693,,14.5415,
1300,0.5,1300,245539702731,,20.9215,
1400,0.5,1400,391821237190,,28.7393,
1500,0.5,1500,68608439565,,28.5458,
400,0.5,400,498383407453,,0.238972,
500,0.5,500,718876228122,,0.292212,
600,0.5,600,555018735246,,1.15988,
700,0.5,700,2553716000,,2.69344,
800,0.5,800,991580365148,,5.67346,
900,0.5,900,598775581377,,5.01668,
1000,0.5,1000,934622429833,,8.52229,
1100,0.5,1100,19535382770,,17.7584,
1200,0.5,1200,143855232885,,19.2575,
