n,p,r,s,Dinic,EK,MPM
225,0.1,200,26020,0.0001962,0.0006673,0.0010034
225,0.2,220,16853,0.0004228,0.0047792,0.001338
225,0.3,240,34281,0.0002402,0.0037821,0.0010844
225,0.4,260,41160,0.0011081,0.0138883,0.0030317
225,0.5,280,11248,0.0011495,0.0212796,0.0020399
225,0.6,300,23245,0.0006689,0.0192387,0.0025087
250,0.1,320,56020,0.0002802,0.0014049,0.0010399
250,0.2,320,86853,0.0005886,0.0044754,0.0015528
250,0.3,340,94281,0.0003151,0.0037475,0.0009727
250,0.4,360,71160,0.0005083,0.0077292,0.0024508
250,0.5,380,61248,0.0005649,0.0139606,0.0028469
250,0.6,400,53245,0.0012815,0.0356337,0.0027143
275,0.1,400,46020,0.0003329,0.0014894,0.0016724
275,0.2,420,26853,0.0005773,0.0078926,0.0019012
275,0.3,440,14281,0.0013396,0.0143685,0.0040886
275,0.4,460,31160,0.0024807,0.0319551,0.0057947
275,0.5,480,61248,0.0007159,0.0191849,0.0019017
275,0.6,400,13245,0.0010404,0.0371209,0.0037285
325,0.1,400,26020,0.0006719,0.0028734,0.002701
325,0.2,420,76853,0.0017275,0.0165755,0.0050612
325,0.3,440,54281,0.0017559,0.0165173,0.0036356
325,0.4,460,41160,0.0019008,0.0419232,0.0050964
325,0.5,480,21248,0.0017818,0.0426927,0.0064651
325,0.6,500,13245,0.0014113,0.0880115,0.0037802
350,0.1,520,76020,0.0006784,0.0051937,0.0035252
350,0.2,520,86853,0.0010171,0.0149059,0.0034217
350,0.3,540,34281,0.0013203,0.0252822,0.0032518
350,0.4,560,11160,0.0022792,0.053356,0.0054004
350,0.5,580,91248,0.0048123,0.0879786,0.0085369
350,0.6,600,13245,0.004975,0.112004,0.0170434
375,0.1,600,26020,0.0002573,0.0016221,0.0013474
375,0.2,620,56853,0.0018915,0.0327016,0.0053628
375,0.3,640,34281,0.0021267,0.0356933,0.0065785
375,0.4,660,21160,0.0017703,0.031792,0.0076435
375,0.5,680,11248,0.0026093,0.0766825,0.0085313
375,0.6,500,23245,0.0032578,0.170779,0.0097466
525,0.1,500,86020,0.0016735,0.011356,0.0063705
525,0.2,520,66853,0.0036144,0.0584725,0.0116893
525,0.3,540,44281,0.0059731,0.13553,0.0120038
525,0.4,560,21160,0.0030444,0.0971784,0.0156512
525,0.5,580,11248,0.0043789,0.284768,0.0137236
525,0.6,500,43245,0.0041935,0.266821,0.0160127
550,0.1,700,26020,0.0015379,0.0250014,0.0076629
550,0.2,720,66853,0.0039138,0.04925,0.0093532
550,0.3,740,84281,0.0072022,0.164314,0.0201046
550,0.4,760,91160,0.0046607,0.189716,0.0133029
550,0.5,780,21248,0.0057962,0.209069,0.0265517
550,0.6,700,13245,0.0085687,0.437304,0.0243499
575,0.1,700,26020,0.0029667,0.0257219,0.0109908
575,0.2,820,56853,0.0064039,0.0770939,0.0155199
575,0.3,840,84281,0.008764,0.22793,0.0232144
575,0.4,860,31160,0.0079421,0.258477,0.0222627
575,0.5,880,91248,0.0062681,0.331762,0.017724
575,0.6,900,13245,0.0047485,0.422671,0.0333911
600,0.1,800,36020,0.0030555,0.0392689,0.0134907
600,0.2,820,56853,0.0031786,0.0388377,0.0110697
600,0.3,840,14281,0.0083036,0.155945,0.0214917
600,0.4,860,71160,0.0040791,0.151502,0.0219632
600,0.5,880,21248,0.0101711,0.381581,0.0281695
600,0.6,900,13245,0.0052415,0.482966,0.0252136
625,0.1,920,36230,0.0032427,0.0429838,0.0104415
625,0.2,940,55433,0.0023957,0.040136,0.0092295
625,0.3,960,12281,0.0063891,0.142733,0.0203191
625,0.4,980,21160,0.00716,0.195242,0.025958
625,0.5,980,41248,0.0041235,0.395172,0.0227562
625,0.6,1000,62345,0.0085565,0.708787,0.0319502
650,0.1,1020,32445,0.0028615,0.0522393,0.0103899
650,0.2,1040,56854,0.0036148,0.083701,0.0127729
650,0.3,1040,23281,0.0125118,0.398651,0.0380549
650,0.4,1060,53160,0.0048151,0.269376,0.0202365
